"symbol","yahoo_symbol","name","aliases"
"GMDCLTD","GMDCLTD.NS","Gujarat Mineral Development Corporation Ltd.","gmdcltd|gujarat mineral development corporation ltd.|gujarat mineral development"
"HEG","HEG.NS","H.E.G. Ltd.","heg|h.e.g. ltd.|h e g"
"HBLENGINE","HBLENGINE.NS","HBL Engineering Ltd.","hblengine|hbl engineering ltd.|hbl engineering"
"HCLTECH","HCLTECH.NS","HCL Technologies Ltd.","hcltech|hcl technologies ltd.|hcl technologies|hcl tech"
"HDBFS","HDBFS.NS","HDB Financial Services Ltd.","hdbfs|hdb financial services ltd.|hdb financial services"
"HDFCAMC","HDFCAMC.NS","HDFC Asset Management Company Ltd.","hdfcamc|hdfc asset management company ltd.|hdfc asset management"
"HDFCBANK","HDFCBANK.NS","HDFC Bank Ltd.","hdfcbank|hdfc bank ltd.|hdfc bank"
"HDFCLIFE","HDFCLIFE.NS","HDFC Life Insurance Company Ltd.","hdfclife|hdfc life insurance company ltd.|hdfc life insurance|hdfc life"
"HFCL","HFCL.NS","HFCL Ltd.","hfcl|hfcl ltd."
"HAVELLS","HAVELLS.NS","Havells India Ltd.","havells|havells india ltd."
"HEROMOTOCO","HEROMOTOCO.NS","Hero MotoCorp Ltd.","heromotoco|hero motocorp ltd.|hero motocorp|hero"
"HEXT","HEXT.NS","Hexaware Technologies Ltd.","hext|hexaware technologies ltd.|hexaware technologies"
"HSCL","HSCL.NS","Himadri Speciality Chemical Ltd.","hscl|himadri speciality chemical ltd.|himadri speciality chemical"
"HINDALCO","HINDALCO.NS","Hindalco Industries Ltd.","hindalco|hindalco industries ltd."
"HAL","HAL.NS","Hindustan Aeronautics Ltd.","hal|hindustan aeronautics ltd.|hindustan aeronautics"
"HINDCOPPER","HINDCOPPER.NS","Hindustan Copper Ltd.","hindcopper|hindustan copper ltd.|hindustan copper"
"HINDPETRO","HINDPETRO.NS","Hindustan Petroleum Corporation Ltd.","hindpetro|hindustan petroleum corporation ltd.|hindustan petroleum"
"HINDUNILVR","HINDUNILVR.NS","Hindustan Unilever Ltd.","hindunilvr|hindustan unilever ltd.|hindustan unilever|hul"
"HINDZINC","HINDZINC.NS","Hindustan Zinc Ltd.","hindzinc|hindustan zinc ltd.|hindustan zinc"
"POWERINDIA","POWERINDIA.NS","Hitachi Energy India Ltd.","powerindia|hitachi energy india ltd.|hitachi energy"
"HOMEFIRST","HOMEFIRST.NS","Home First Finance Company India Ltd.","homefirst|home first finance company india ltd.|home first finance"
"HONASA","HONASA.NS","Honasa Consumer Ltd.","honasa|honasa consumer ltd.|honasa consumer"
"HONAUT","HONAUT.NS","Honeywell Automation India Ltd.","honaut|honeywell automation india ltd.|honeywell automation"
"HUDCO","HUDCO.NS","Housing & Urban Development Corporation Ltd.","hudco|housing & urban development corporation ltd.|housing & urban development"
"HYUNDAI","HYUNDAI.NS","Hyundai Motor India Ltd.","hyundai|hyundai motor india ltd.|hyundai motor"
"ICICIBANK","ICICIBANK.NS","ICICI Bank Ltd.","icicibank|icici bank ltd.|icici bank|icici"
"ICICIGI","ICICIGI.NS","ICICI Lombard General Insurance Company Ltd.","icicigi|icici lombard general insurance company ltd.|icici lombard general insurance|icici lombard|icici general insurance"
"ICICIAMC","ICICIAMC.NS","ICICI Prudential Asset Management Company Ltd.","iciciamc|icici prudential asset management company ltd.|icici prudential asset management"
"ICICIPRULI","ICICIPRULI.NS","ICICI Prudential Life Insurance Company Ltd.","icicipruli|icici prudential life insurance company ltd.|icici prudential life insurance|icici pru|icici prudential"
"IDBI","IDBI.NS","IDBI Bank Ltd.","idbi|idbi bank ltd.|idbi bank"
"IDFCFIRSTB","IDFCFIRSTB.NS","IDFC First Bank Ltd.","idfcfirstb|idfc first bank ltd.|idfc first bank"
"IFCI","IFCI.NS","IFCI Ltd.","ifci|ifci ltd."
"IIFL","IIFL.NS","IIFL Finance Ltd.","iifl|iifl finance ltd.|iifl finance"
"IRB","IRB.NS","IRB Infrastructure Developers Ltd.","irb|irb infrastructure developers ltd.|irb infrastructure developers"
"IRCON","IRCON.NS","IRCON International Ltd.","ircon|ircon international ltd.|ircon international"
"ITCHOTELS","ITCHOTELS.NS","ITC Hotels Ltd.","itchotels|itc hotels ltd.|itc hotels"
"ITC","ITC.NS","ITC Ltd.","itc|itc ltd."
"ITI","ITI.NS","ITI Ltd.","iti|iti ltd."
"INDGN","INDGN.NS","Indegene Ltd.","indgn|indegene ltd.|indegene"
"INDIACEM","INDIACEM.NS","India Cements Ltd.","indiacem|india cements ltd.|cements"
"INDIAMART","INDIAMART.NS","Indiamart Intermesh Ltd.","indiamart|indiamart intermesh ltd.|indiamart intermesh"
"INDIANB","INDIANB.NS","Indian Bank","indianb|indian bank"
"IEX","IEX.NS","Indian Energy Exchange Ltd.","iex|indian energy exchange ltd.|indian energy exchange"
"INDHOTEL","INDHOTEL.NS","Indian Hotels Co. Ltd.","indhotel|indian hotels co. ltd.|indian hotels"
"IOC","IOC.NS","Indian Oil Corporation Ltd.","ioc|indian oil corporation ltd.|indian oil"
"IOB","IOB.NS","Indian Overseas Bank","iob|indian overseas bank"
"IRCTC","IRCTC.NS","Indian Railway Catering And Tourism Corporation Ltd.","irctc|indian railway catering and tourism corporation ltd.|indian railway catering and tourism"
"IRFC","IRFC.NS","Indian Railway Finance Corporation Ltd.","irfc|indian railway finance corporation ltd.|indian railway finance"
"IREDA","IREDA.NS","Indian Renewable Energy Development Agency Ltd.","ireda|indian renewable energy development agency ltd.|indian renewable energy development agency"
"IGL","IGL.NS","Indraprastha Gas Ltd.","igl|indraprastha gas ltd.|indraprastha gas"
